id,tip
5883962,garsonjera
6068240,"1,5-sobno"
6062809,garsonjera
6057910,2-sobno
6069338,3-sobno
6069451,"2,5-sobno"
6064972,2-sobno
6069615,2-sobno
6065011,2-sobno
6049152,5 in večsobno
6059875,1-sobno
6063582,1-sobno
5987396,5 in večsobno
6067578,"1,5-sobno"
6044011,1-sobno
6031958,"2,5-sobno"
6054102,3-sobno
5797544,"2,5-sobno"
6064564,4-sobno
6042857,4-sobno
6031962,4-sobno
5962495,5 in večsobno
6031963,4-sobno
6035440,3-sobno
6051180,4-sobno
6045634,"2,5-sobno"
6045607,3-sobno
6057017,1-sobno
5970259,"1,5-sobno"
6017955,4-sobno
6039102,2-sobno
6014200,5 in večsobno
6013130,4-sobno
6038709,3-sobno
6010408,1-sobno
6005542,2-sobno
6017404,2-sobno
6068334,3-sobno
6044342,3-sobno
6067359,2-sobno
6067842,5 in večsobno
5818609,5 in večsobno
6053889,3-sobno
6050179,garsonjera
6038663,garsonjera
5820096,garsonjera
6068313,garsonjera
6066416,1-sobno
5910432,1-sobno
6063987,2-sobno
6054209,2-sobno
6042265,2-sobno
6066586,2-sobno
6053201,2-sobno
6066491,2-sobno
6035208,2-sobno
6056446,2-sobno
6069625,3-sobno
5788490,"3,5-sobno"
6064094,3-sobno
5793489,2-sobno
6069759,3-sobno
6050483,2-sobno
5942512,3-sobno
6065640,3-sobno
6061479,2-sobno
6069597,3-sobno
6068472,3-sobno
5990918,2-sobno
5767478,3-sobno
6025508,2-sobno
6067067,2-sobno
6065106,4-sobno
6002870,"2,5-sobno"
6066564,"2,5-sobno"
6067787,3-sobno
6066643,3-sobno
6035665,3-sobno
6065030,3-sobno
6069902,3-sobno
6065625,3-sobno
6065633,3-sobno
5806785,3-sobno
6066809,3-sobno
6058410,3-sobno
6069811,"3,5-sobno"
6069036,3-sobno
5796504,pisarna
6017904,4-sobno
6066585,3-sobno
6056414,3-sobno
6070040,4-sobno
5666214,4-sobno
5775844,4-sobno
6062490,3-sobno
6066721,"2,5-sobno"
6066584,2-sobno
5812324,4-sobno
5982718,4-sobno
6068976,4-sobno
6052144,3-sobno
6066486,"3,5-sobno"
6067898,4-sobno
6066583,4-sobno
6066952,"2,5-sobno"
6050844,4-sobno
6066842,"3,5-sobno"
6066788,4-sobno
6068979,4-sobno
6067059,3-sobno
6066507,5 in večsobno
6068415,4-sobno
5814378,1-sobno
6059251,4-sobno
5972092,2-sobno
6053987,5 in večsobno
6001286,5 in večsobno
6066739,5 in večsobno
6053672,4-sobno
6066509,"3,5-sobno"
6059323,stanovanje
6054929,"4,5-sobno"
6055126,5 in večsobno
6021930,"2,5-sobno"
5729536,5 in večsobno
6067029,3-sobno
6053781,3-sobno
6033956,živilska trgovina
5776455,3-sobno
6053188,"4,5-sobno"
6066422,4-sobno
5970077,4-sobno
6066650,5 in večsobno
6040991,4-sobno
6066625,živilska trgovina
5979937,5 in večsobno
6052102,5 in večsobno
5796514,zazidljiva
6009098,5 in večsobno
6066587,5 in večsobno
6039352,5 in večsobno
5630677,2-sobno
6062211,4-sobno
6047608,3-sobno
6069094,2-sobno
6067121,3-sobno
5889473,4-sobno
5799353,3-sobno
6063537,2-sobno
6057636,3-sobno
6058751,3-sobno
6069621,"2,5-sobno"
5779264,5 in večsobno
5990853,4-sobno
6004791,"3,5-sobno"
6055213,3-sobno
6040248,4-sobno
6034872,3-sobno
6050951,3-sobno
6051171,3-sobno
6022395,"2,5-sobno"
6048324,3-sobno
6061558,5 in večsobno
5706866,"4,5-sobno"
6067501,"1,5-sobno"
6065126,2-sobno
6069401,4-sobno
6043609,2-sobno
5883962,garsonjera
6060447,3-sobno
6054459,3-sobno
6065302,2-sobno
6063866,2-sobno
6067768,1-sobno
6063920,4-sobno
6066184,3-sobno
6061872,1-sobno
6044826,garsonjera
6069557,garsonjera
6066173,4-sobno
6012840,2-sobno
5610162,"2,5-sobno"
5910321,3-sobno
6063416,4-sobno
5964480,2-sobno
6059821,3-sobno
6043931,3-sobno
5935998,5 in večsobno
6028024,5 in večsobno
6068349,"4,5-sobno"
6049460,"2,5-sobno"
6067218,garsonjera
6010157,3-sobno
6052327,3-sobno
6061132,4-sobno
6062839,2-sobno
6021447,3-sobno
6025422,3-sobno
6069100,3-sobno
5789120,vrstna
6069628,4-sobno
2497323,"3,5-sobno"
5849169,3-sobno
6064659,3-sobno
5925849,4-sobno
6057926,"3,5-sobno"
6059324,stanovanje
6066326,1-sobno
6048623,4-sobno
6064578,4-sobno
5973709,4-sobno
6060698,4-sobno
6060749,5 in večsobno
6058035,2-sobno
6069627,3-sobno
6069652,2-sobno
6061564,3-sobno
6067834,4-sobno
5990842,2-sobno
6022831,"2,5-sobno"
6060045,3-sobno
6050577,5 in večsobno
6056299,4-sobno
5832098,5 in večsobno
6064252,4-sobno
6060351,3-sobno
6060354,2-sobno
6062479,3-sobno
5719185,5 in večsobno
5788431,trojček
6067355,1-sobno
6033604,stanovanje
6053894,3-sobno
5978306,5 in večsobno
6068218,"3,5-sobno"
6039331,5 in večsobno
6069623,4-sobno
6053321,2-sobno
6047464,2-sobno
6063546,2-sobno
6069079,2-sobno
6054657,2-sobno
6069629,soba
6057513,5 in večsobno
6068329,"1,5-sobno"
6052812,2-sobno
6068983,3-sobno
6066706,3-sobno
6069336,3-sobno
6016491,3-sobno
6067088,3-sobno
6066960,3-sobno
6066753,4-sobno
6060629,4-sobno
6045782,4-sobno
6063469,3-sobno
6069608,2-sobno
6066624,2-sobno
6024240,2-sobno
6062917,4-sobno
6062911,4-sobno
6063893,4-sobno
6054146,2-sobno
5990733,2-sobno
6069212,garsonjera
5982626,3-sobno
6068944,2-sobno
5789120,vrstna
6022015,4-sobno
6045706,3-sobno
6066329,4-sobno
6066110,garsonjera
6068302,3-sobno
6063421,2-sobno
6033218,"2,5-sobno"
6069104,4-sobno
