id,ime,podrocje,nadstropje,leto,velikost,cena,posredovanje,tip1
6068346,"LJ. BEŽIGRAD, ZUPANČIČEVA JAMA - BLIZU CENTRA",Bezigrad,4,1967,48.0,116000.0,Prodaja,Stanovanje
6013593,"LJ. BEŽIGRAD, ŽELEZNA CESTA",Bezigrad,2,1995,140.7,385000.0,Prodaja,Stanovanje
6038487,"LJ. BEŽIGRAD, ŽUPANČIČEVA JAMA",Bezigrad,2,2009,102.1,349000.0,Prodaja,Stanovanje
6066705,SAVLJE,Bezigrad,P+1+M,2007,120.0,199000.0,Prodaja,Stanovanje
6068084,"SAVSKO NASELJE, MAJARONOVA ULICA",Bezigrad,1,2008,85.0,175000.0,Prodaja,Stanovanje
6066537,STOŽICE,Bezigrad,7,2009,123.2,620000.0,Prodaja,Stanovanje
6068982,"ZUPANČIČEVA JAMA, BEŽIGRAD",Bezigrad,5,1990,156.6,329000.0,Prodaja,Stanovanje
6066453,ČRNUČE,Bezigrad,2,2009,45.7,140000.0,Prodaja,Stanovanje
6059000,ČRNUČE,Bezigrad,VP,1980,46.6,104900.0,Prodaja,Stanovanje
6055565,ČRNUČE,Bezigrad,4,1978,66.5,152000.0,Prodaja,Stanovanje
5992598,ČRNUČE,Bezigrad,4,2009,84.1,230000.0,Prodaja,Stanovanje
6066577,ČRNUČE,Bezigrad,2,1956,97.2,220000.0,Prodaja,Stanovanje
6048387,ČRNUČE,Bezigrad,P,2008,105.35,379000.0,Prodaja,Stanovanje
5491755,ČRNUČE,Bezigrad,2,2010,129.0,270000.0,Prodaja,Stanovanje
5886982,ČRNUČE,Bezigrad,5,2000,379.0,390000.0,Prodaja,Stanovanje
6066321,"ČRNUČE, INVESTICIJSKO",Bezigrad,P,1900,58.0,90000.0,Prodaja,Stanovanje
6054650,"ČRNUČE, KUPEC NE PLAČA PROVIZIJE",Bezigrad,M,2007,91.0,220000.0,Prodaja,Stanovanje
6015913,"ČRNUČE, MIRNA LOKACIJA",Bezigrad,4,2011,137.91,230000.0,Prodaja,Stanovanje
6069601,"ČRNUČE, SAVSKI BREG",Bezigrad,P,2009,83.0,140000.0,Prodaja,Stanovanje
6033652,"ČRNUČE, SAVSKI BREG",Bezigrad,P,2009,120.0,220000.0,Prodaja,Stanovanje
5967396,"ČRNUČE, SPODNJE OKROGARJEVA 2",Bezigrad,3,2017,40.82,87770.0,Prodaja,Stanovanje
5967387,"ČRNUČE, SPODNJE OKROGARJEVA 2",Bezigrad,2,2017,61.97,126970.0,Prodaja,Stanovanje
5967383,"ČRNUČE, SPODNJE OKROGARJEVA 2",Bezigrad,1,2017,63.91,127580.0,Prodaja,Stanovanje
5967380,"ČRNUČE, SPODNJE OKROGARJEVA 2",Bezigrad,1,2017,73.08,145850.0,Prodaja,Stanovanje
5967377,"ČRNUČE, SPODNJE OKROGARJEVA 2",Bezigrad,P,2017,76.84,164910.0,Prodaja,Stanovanje
5967374,"ČRNUČE, SPODNJE OKROGARJEVA 2",Bezigrad,3,2017,81.07,165710.0,Prodaja,Stanovanje
5967375,"ČRNUČE, SPODNJE OKROGARJEVA 2",Bezigrad,3,2017,81.51,166180.0,Prodaja,Stanovanje
5967372,"ČRNUČE, SPODNJE OKROGARJEVA 2",Bezigrad,2,2017,85.04,169850.0,Prodaja,Stanovanje
5967357,"ČRNUČE, SPODNJE OKROGARJEVA 2",Bezigrad,4,2017,148.82,290000.0,Prodaja,Stanovanje
6068338,"ČRNUŠKA GMAJNA, SUHADOLČANOVA 85 - ČRNUČE",Bezigrad,P,2008,63.1,115000.0,Prodaja,Stanovanje
6012027,LJ. BEŽIGRAD,Bezigrad,P,2000,44.7,110000.0,Prodaja,Stanovanje
6064306,LJ. BEŽIGRAD,Bezigrad,P,1900,45.0,58000.0,Prodaja,Stanovanje
5995287,LJ. BEŽIGRAD,Bezigrad,2,2010,45.68,140000.0,Prodaja,Stanovanje
6066424,LJ. BEŽIGRAD,Bezigrad,3,1942,49.0,137000.0,Prodaja,Stanovanje
6069056,LJ. BEŽIGRAD,Bezigrad,1,1977,51.1,135000.0,Prodaja,Stanovanje
6014243,LJ. BEŽIGRAD,Bezigrad,4,2014,55.33,203000.0,Prodaja,Stanovanje
6056957,LJ. BEŽIGRAD,Bezigrad,3,1979,56.5,145000.0,Prodaja,Stanovanje
6064562,LJ. BEŽIGRAD,Bezigrad,1,1978,57.4,134500.0,Prodaja,Stanovanje
