id,ime,podrocje,nadstropje,leto,velikost,cena
6048431,LJ. ŠIŠKA,Siska,M,1939,102.3,195000.0
6075162,LJ. ŠIŠKA,Siska,7,2009,102.65,146700.0
6075160,LJ. ŠIŠKA,Siska,6,2009,102.95,142600.0
6062783,LJ. ŠIŠKA,Siska,2,1952,103.8,229000.0
6075157,LJ. ŠIŠKA,Siska,5,2009,104.0,186300.0
6066980,LJ. ŠIŠKA,Siska,4,2008,108.72,366000.0
6069352,LJ. ŠIŠKA,Siska,2,2008,152.0,357000.0
6075336,LJ. ŠIŠKA,Siska,9,2009,279.11,495000.0
6071306,"LJ. ŠIŠKA, ALEŠOVČEVA ULICA",Siska,2,1961,19.7,36000.0
6071314,"LJ. ŠIŠKA, ALEŠOVČEVA ULICA",Siska,P,1961,71.2,95000.0
6015434,"LJ. ŠIŠKA, ALJAZEVA, PRILOZNOST ZA OBNOVO",Siska,1,1978,40.0,74990.0
6033485,"LJ. ŠIŠKA, ANDREAŠEVA ULICA 8",Siska,3,1996,26.4,68000.0
6069867,"LJ. ŠIŠKA, BLIŽINA CENTRA, TIVOLIJA",Siska,P,1890,64.56,195000.0
6053866,"LJ. ŠIŠKA, BLIŽINA GIMNAZIJE",Siska,2,2002,125.5,329000.0
6065487,"LJ. ŠIŠKA, BOHINJČEVA ULICA",Siska,M,1995,104.8,225000.0
6074829,"LJ. ŠIŠKA, BREZ PROVIZIJE ZA KUPCA",Siska,3,1963,56.0,110000.0
5819691,"LJ. ŠIŠKA, BRILEJEVA ULICA",Siska,2,1982,60.7,122000.0
6059554,"LJ. ŠIŠKA, BROD",Siska,1,2006,44.31,115000.0
6061354,"LJ. ŠIŠKA, CELOVŠKA",Siska,2,1974,65.1,155000.0
6075733,"LJ. ŠIŠKA, CELOVŠKA",Siska,7,1974,28.0,74900.0
6069604,"LJ. ŠIŠKA, CELOVŠKA CESTA",Siska,7,1973,28.0,75000.0
6040759,"LJ. ŠIŠKA, CELOVŠKA CESTA",Siska,9,1973,35.2,115000.0
6064432,"LJ. ŠIŠKA, CELOVŠKA CESTA",Siska,3,1968,63.0,145000.0
6067369,"LJ. ŠIŠKA, CELOVŠKA CESTA",Siska,5,1974,66.6,125000.0
6074020,"LJ. ŠIŠKA, CELOVŠKA CESTA",Siska,12,1973,75.1,149000.0
6069600,"LJ. ŠIŠKA, CELOVŠKA CESTA, BLIŽINA LPP",Siska,2,1968,26.9,75000.0
6065119,"LJ. ŠIŠKA, CELOVŠKI DVORI",Siska,4,2009,92.0,189000.0
6073667,"LJ. ŠIŠKA, DRAVELJSKI VRTOVI",Siska,1,2012,55.0,205000.0
6069319,"LJ. ŠIŠKA, DRAVLJE",Siska,2,2009,35.0,119000.0
6067378,"LJ. ŠIŠKA, DRAVLJE",Siska,5,1983,76.6,159000.0
6066221,"LJ. ŠIŠKA, DRAVLJE",Siska,3,1983,79.8,159900.0
5988490,"LJ. ŠIŠKA, DRAVLJE",Siska,P,2004,100.0,185000.0
6059139,"LJ. ŠIŠKA, DRAVLJE, BRILEJEVA",Siska,6,1982,76.0,155000.0
6071227,"LJ. ŠIŠKA, DVOR",Siska,P,1975,62.0,138500.0
6074585,"LJ. ŠIŠKA, GOTSKA ULICA",Siska,1,1972,27.0,79000.0
6054606,"LJ. ŠIŠKA, KEBETOVA ULICA, BREZ PROVIZIJE ZA KUPCA",Siska,P,2008,100.5,695000.0
6075067,"LJ. ŠIŠKA, KOSEZE - TERASASTI BLOKI",Siska,3,1978,76.81,178000.0
6070184,"LJ. ŠIŠKA, KOSEZE, TERASASTI BLOKI",Siska,3,1974,33.1,83000.0
6064861,"LJ. ŠIŠKA, KOSEZE, Z BALKONOM",Siska,3,1978,76.2,178000.0
6016416,"LJ. ŠIŠKA, MALGAJEVA ULICA, NASPROTI TIVOLI",Siska,P,2005,68.0,269000.0
6057851,"LJ. ŠIŠKA, MARTINČEVA ULICA, DRAVLJE",Siska,P,2000,156.0,343740.0
5971737,"LJ. ŠIŠKA, MAZIJEVA ULICA",Siska,5,1965,25.8,49000.0
6060775,"LJ. ŠIŠKA, MOSTEC",Siska,1,1933,65.0,99000.0
6075762,"LJ. ŠIŠKA, NASPROTI HALE TIVOLI",Siska,M,1932,82.5,156000.0
6061197,"LJ. ŠIŠKA, NEPOSREDNA BLIŽINA TIVOLIJA",Siska,6,1968,106.0,260000.0
6059857,"LJ. ŠIŠKA, OBIRSKA ULICA",Siska,M,1938,82.0,156000.0
6037015,"LJ. ŠIŠKA, PAVŠIČEVA ULICA",Siska,1,1977,82.0,138000.0
6069741,"LJ. ŠIŠKA, PILON - PODUTIK",Siska,5,2008,188.0,295000.0
6048940,"LJ. ŠIŠKA, PILONOVA ULICA",Siska,1,1972,60.0,130000.0
6069733,"LJ. ŠIŠKA, PODUTIK",Siska,1,2006,147.9,399000.0
5871776,BLED,Siska,P+1,1968,156.3,367000.0
6050835,"LJ. ŠIŠKA, PODUTIK",Siska,5,2008,188.2,298000.0
6066397,"LJ. ŠIŠKA, PRI MERCATOR CENTRU, LIPA",Siska,12,2015,21.0,48000.0
6073032,"LJ. ŠIŠKA, SPODNJA",Siska,VP,1940,39.9,110000.0
6074828,"LJ. ŠIŠKA, SPODNJA",Siska,7,1965,52.0,119000.0
