id,ime,podrocje,nadstropje,leto,velikost,cena
6063015,"LJ. MOSTE, BLIŽINA TRŽNICE",Vic-Rudnik,1,1927,47.0,99000.0
6048644,"LJ. MOSTE, BLIŽINA ZDRAVSTVENEGA DOMA",Vic-Rudnik,P,1900,110.92,197000.0
5932572,"LJ. MOSTE, DOBRUNJE, JAVOR",Vic-Rudnik,P,1950,38.0,59000.0
6071280,"LJ. MOSTE, JARŠE - BEBLERJEV TRG",Vic-Rudnik,7,1982,79.2,175000.0
6023327,"LJ. MOSTE, KAJUHOVA",Vic-Rudnik,11,1967,70.7,165000.0
6076095,"LJ. MOSTE, KODELJEVO",Vic-Rudnik,VP,1949,50.8,115000.0
6069434,"LJ. MOSTE, KODELJEVO",Vic-Rudnik,1,1959,52.1,135000.0
6043150,"LJ. MOSTE, KODELJEVO",Vic-Rudnik,1,1946,69.6,155000.0
5797087,"CELJE, SKALNA KLET",Vic-Rudnik,1,2008,130.0,240000.0
6067520,"LJ. MOSTE, KODELJEVO, POLOVIČNA PROVIZIJA",Vic-Rudnik,1,1959,64.8,135000.0
6004359,"LJ. MOSTE, LE STRELJAJ OD CENTRA",Vic-Rudnik,P,1987,69.0,159000.0
6052194,"LJ. MOSTE, MIRNA LOKACIJA",Vic-Rudnik,1,1963,49.52,119000.0
6074727,"LJ. MOSTE, NOVE JARŠE",Vic-Rudnik,4,1977,55.0,138000.0
6073013,"LJ. MOSTE, NOVE JARŠE",Vic-Rudnik,4,1977,59.5,138000.0
6075524,"LJ. MOSTE, NOVE JARŠE, BTC",Vic-Rudnik,1,2000,38.0,108000.0
6016178,"LJ. MOSTE, OB KAJUHOVI",Vic-Rudnik,1,1964,67.0,135000.0
6069437,"LJ. MOSTE, POLJE",Vic-Rudnik,4,1974,29.0,73000.0
6074310,"LJ. MOSTE, POLJE",Vic-Rudnik,VP,1956,92.7,223000.0
6035292,"LJ. MOSTE, POLJE - SNEBERJE",Vic-Rudnik,1,1965,41.3,83000.0
6059257,"LJ. MOSTE, POLJE, CESTA VI/10",Vic-Rudnik,4,1976,30.0,71000.0
6071140,"LJ. MOSTE, POT NA FUŽINE",Vic-Rudnik,3,1981,30.2,79000.0
5804324,"LJ. MOSTE, RUSJANOV TRG",Vic-Rudnik,13,1987,36.62,84990.0
