id,ime,podrocje,nadstropje,leto,velikost,cena
5966303,"ČRNUČE, SPODNJE OKROGARJEVA 2",Bezigrad,2,2017,99.06,199365.19
6037821,BEŽIGRAJSKI DVOR,Bezigrad,4,1996,133.0,360000.0
6066797,BEŽIGRAJSKI DVOR,Bezigrad,4,1993,139.0,360000.0
6043505,"BEŽIGRAJSKI DVOR, BEZIGRAJSKI - PERICEVA",Bezigrad,4,1997,139.0,360000.0
6053645,"BEŽIGRAJSKI DVOR, LJ. BEŽIGRAD",Bezigrad,5,1996,193.8,620000.0
6059940,"BEŽIGRAJSKI DVOR, ZUPANČIČEVA JAMA",Bezigrad,3,2009,51.0,145000.0
6075213,"BRINJE, BEŽIGRAD",Bezigrad,P,1964,57.0,141000.0
6068356,"BRINJE, BEŽIGRAD",Bezigrad,VP,2005,108.0,299000.0
6070356,BS 3,Bezigrad,9,1982,45.9,99900.0
6063763,BS 3,Bezigrad,4,1979,55.2,130000.0
6065558,BS 3,Bezigrad,1,1978,57.4,134500.0
6066740,BS 3,Bezigrad,19,1980,61.3,139000.0
6076047,"BS 3, BEŽIGRAD BLIŽINA EKON - FAKULTET",Bezigrad,P,1977,56.4,137000.0
6064036,"BS 3, LJ. BEŽIGRAD",Bezigrad,1,1978,57.0,134500.0
6062775,"BS 3, VOJKOVA 73",Bezigrad,13,1984,76.0,164500.0
5929561,ČRNUČE,Bezigrad,4,1975,38.0,105000.0
5986682,ČRNUČE,Bezigrad,VP,1981,44.4,104900.0
6073269,ČRNUČE,Bezigrad,VP,1981,45.0,104900.0
6014930,ČRNUČE,Bezigrad,2,2010,45.6,140000.0
6058103,ČRNUČE,Bezigrad,2,2010,45.68,137000.0
6065673,ČRNUČE,Bezigrad,2,2009,45.7,130000.0
6041364,ČRNUČE,Bezigrad,2,2009,45.7,140000.0
6066453,ČRNUČE,Bezigrad,2,2009,45.7,140000.0
5788344,"ŠKOFLJICA, GRADIŠČE NAD PIJAVO GORICO",Bezigrad,VP,1980,46.6,104900.0
